date,堵车
2017-12-21,130
2017-12-22,135
2017-12-23,120
2017-12-24,66
2017-12-25,124
2017-12-26,124
2017-12-27,132
2017-12-28,140
2017-12-29,150
2017-12-30,142
2017-12-31,135
2018-01-01,99
2018-01-02,71
2018-01-03,139
2018-01-04,129
2018-01-05,137
2018-01-06,124
2018-01-07,126
2018-01-08,140
2018-01-09,130
2018-01-10,120
2018-01-11,124
2018-01-12,128
2018-01-13,124
2018-01-14,63
2018-01-15,65
2018-01-16,126
2018-01-17,124
2018-01-18,60
2018-01-19,124
2018-01-20,123
2018-01-21,115
2018-01-22,120
2018-01-23,132
2018-01-24,61
2018-01-25,139
2018-01-26,65
2018-01-27,130
2018-01-28,133
2018-01-29,120
2018-01-30,74
2018-01-31,146
2018-02-01,134
2018-02-02,137
2018-02-03,91
2018-02-04,73
2018-02-05,135
2018-02-06,157
2018-02-07,138
2018-02-08,140
2018-02-09,123
2018-02-10,156
2018-02-11,148
2018-02-12,128
2018-02-13,137
2018-02-14,70
2018-02-15,0
2018-02-16,73
2018-02-17,139
2018-02-18,82
2018-02-19,137
2018-02-20,105
2018-02-21,241
2018-02-22,215
2018-02-23,182
2018-02-24,169
2018-02-25,84
2018-02-26,136
2018-02-27,139
2018-02-28,128
2018-03-01,144
2018-03-02,136
2018-03-03,86
2018-03-04,83
2018-03-05,124
2018-03-06,117
2018-03-07,67
2018-03-08,71
2018-03-09,129
2018-03-10,128
2018-03-11,134
2018-03-12,132
2018-03-13,115
2018-03-14,128
2018-03-15,70
2018-03-16,133
2018-03-17,126
2018-03-18,135
2018-03-19,130
2018-03-20,136
2018-03-21,130
2018-03-22,120
2018-03-23,136
2018-03-24,124
2018-03-25,80
2018-03-26,156
2018-03-27,147
2018-03-28,125
2018-03-29,127
2018-03-30,65
2018-03-31,67
2018-04-01,74
2018-04-02,70
2018-04-03,137
2018-04-04,208
2018-04-05,218
2018-04-06,91
2018-04-07,152
2018-04-08,133
2018-04-09,137
2018-04-10,70
